2.16.840.1.113883.3.42.127.100001.256             2                                                                          ASAP                                                                                                                                                                                                                                                           2.16.840.1.113883.12.168                          A                                                                          ASAP                                                                                                                                                                                                                                                           120140429160354028
2.16.840.1.113883.3.42.127.100001.256             3                                                                          PREOP                                                                                                                                                                                                                                                          2.16.840.1.113883.12.168                          P                                                                          PREOP                                                                                                                                                                                                                                                          120140429160354028
2.16.840.1.113883.3.42.127.100001.256             6.5                                                                        NOTIFY AND ROUTINE                                                                                                                                                                                                                                             2.16.840.1.113883.12.168                          C                                                                          CALLBACK                                                                                                                                                                                                                                                       120140429160354029
2.16.840.1.113883.3.42.127.100001.256             9                                                                          ROUTINE                                                                                                                                                                                                                                                        2.16.840.1.113883.12.168                          R                                                                          ROUTINE                                                                                                                                                                                                                                                        120140429160354029
2.16.840.1.113883.3.42.127.100001.275             3                                                                          FRESH FROZEN PLASMA                                                                                                                                                                                                                                            4.3.2.1.16                                        64                                                                         FRESH FROZEN PLASMA, CPDA-1                                                                                                                                                                                                                                    120140429160354030
2.16.840.1.113883.3.42.127.100001.275             4                                                                          PACKED RED BLOOD CELLS                                                                                                                                                                                                                                         4.3.2.1.16                                        57                                                                         RED BLOOD CELLS, DEGLYCEROLIZE                                                                                                                                                                                                                                 120140429160354031
2.16.840.1.113883.3.42.127.100001.275             6                                                                          CRYOPRECIPITATE                                                                                                                                                                                                                                                4.3.2.1.16                                        83                                                                         CRYOPRECIPITATE-POOLED                                                                                                                                                                                                                                         120140429160354031
2.16.840.1.113883.3.42.127.100001.275             7                                                                          FACTOR IX                                                                                                                                                                                                                                                      4.3.2.1.16                                        144                                                                        FACTOR IX COMPLEX                                                                                                                                                                                                                                              120140429160354106
2.16.840.1.113883.3.42.127.100001.275             9                                                                          RHOGAM                                                                                                                                                                                                                                                         4.3.2.1.16                                        145                                                                        RH IMMUNE GLOBULIN                                                                                                                                                                                                                                             120140429160354107
2.16.840.1.113883.3.42.127.100001.289             A                                                                          Add ordered tests to the existing specimen                                                                                                                                                                                                                     2.16.840.1.113883.12.488                          A                                                                          Add ordered tests to the existing specimen                                                                                                                                                                                                                     120140429160354107
2.16.840.1.113883.3.42.127.100001.289             G                                                                          Generated order;reflex order                                                                                                                                                                                                                                   2.16.840.1.113883.12.488                          G                                                                          Generated order;reflex order                                                                                                                                                                                                                                   120140429160354108
2.16.840.1.113883.3.42.127.100001.289             L                                                                          LAB COLLECT                                                                                                                                                                                                                                                    2.16.840.1.113883.12.488                          L                                                                          Lab to obtain specimen from patient                                                                                                                                                                                                                            120140429160354108
2.16.840.1.113883.3.42.127.100001.289             O                                                                          WARD/CLINIC COLLECT & DELIVER                                                                                                                                                                                                                                  2.16.840.1.113883.12.488                          O                                                                          Specimen obtained by service other than Lab                                                                                                                                                                                                                    120140429160354109
2.16.840.1.113883.3.42.127.100001.289             S                                                                          SEND PATIENT TO LAB                                                                                                                                                                                                                                            2.16.840.1.113883.12.488                          1                                                                          Send Patient to Lab                                                                                                                                                                                                                                            120140429160354109
2.16.840.1.113883.3.42.127.100001.293             1                                                                          NORMAL                                                                                                                                                                                                                                                         4.3.2.1.6                                         1                                                                          NORMAL                                                                                                                                                                                                                                                         120140429160354110
2.16.840.1.113883.3.42.127.100001.293             10                                                                         BIRAD CAT 0 - ASSESSMENT INCOMPLETE                                                                                                                                                                                                                            4.3.2.1.6                                         1100                                                                       BI-RADS CATEGORY 0                                                                                                                                                                                                                                             120140429160354110
2.16.840.1.113883.3.42.127.100001.293             11                                                                         BIRAD CAT 1 - NEGATIVE ROUTINE F/U                                                                                                                                                                                                                             4.3.2.1.6                                         1101                                                                       BI-RADS CATEGORY 1                                                                                                                                                                                                                                             120140429160354111
2.16.840.1.113883.3.42.127.100001.293             12                                                                         BIRAD CAT 2 -BENIGN FINDING ROUTINE F/U                                                                                                                                                                                                                        4.3.2.1.6                                         1102                                                                       BI-RADS CATEGORY 2                                                                                                                                                                                                                                             120140429160354187
2.16.840.1.113883.3.42.127.100001.293             13                                                                         BIRAD CAT 3-PROB BENIGN, SHORT TERM F/U                                                                                                                                                                                                                        4.3.2.1.6                                         1103                                                                       BI-RADS CATEGORY 3                                                                                                                                                                                                                                             120140429160354187
2.16.840.1.113883.3.42.127.100001.293             14                                                                         BIRAD CAT-4-SUSPICIOUS ABNORMALITY                                                                                                                                                                                                                             4.3.2.1.6                                         1104                                                                       BI-RADS CATEGORY 4                                                                                                                                                                                                                                             120140429160354188
2.16.840.1.113883.3.42.127.100001.293             15                                                                         BIRAD CAT-5-HIGHLY SUG. OF MALIGNANCY                                                                                                                                                                                                                          4.3.2.1.6                                         1105                                                                       BI-RADS CATEGORY 5                                                                                                                                                                                                                                             120140429160354188
2.16.840.1.113883.3.42.127.100001.293             3                                                                          ABNORMAL, ATTENTION NEEDED                                                                                                                                                                                                                                     4.3.2.1.6                                         4                                                                          ABNORMALITY, ATTN. NEEDED                                                                                                                                                                                                                                      120140429160354189
2.16.840.1.113883.3.42.127.100001.293             4                                                                          URGENT, IMMEDIATE ATTENTION NEEDED                                                                                                                                                                                                                             4.3.2.1.6                                         1001                                                                       SIGNIFICANT ABNORMALITY, ATTN NEEDED                                                                                                                                                                                                                           120140429160354189
2.16.840.1.113883.3.42.127.100001.293             6                                                                          EXAM NOT RETURNED TO DEPARTMENT.                                                                                                                                                                                                                               4.3.2.1.6                                         6                                                                          UNDICTATED FILMS NOT RETURNED, 3 DAYS                                                                                                                                                                                                                          120140429160354190
2.16.840.1.113883.3.42.127.100001.293             7                                                                          ABNORMAL, PROVIDER AWARE                                                                                                                                                                                                                                       4.3.2.1.6                                         29                                                                         ABNORMALITY,PHYSICIAN AWARE                                                                                                                                                                                                                                    120140429160354191
2.16.840.1.113883.3.42.127.100001.293             9                                                                          SEE RADIOLOGIST'S REPORT                                                                                                                                                                                                                                       4.3.2.1.6                                         37                                                                         SEE SPEECH REPORT IN PATIENT'S MEDICAL RECORD                                                                                                                                                                                                                  120140429160354191
2.16.840.1.113883.3.42.127.100001.294             1                                                                          ONETIME                                                                                                                                                                                                                                                        4.3.2.1.1                                         O                                                                          ONE-TIME                                                                                                                                                                                                                                                       120140429160354192
2.16.840.1.113883.3.42.127.100001.294             4                                                                          CONTINUOUS                                                                                                                                                                                                                                                     4.3.2.1.1                                         C                                                                          CONTINUOUS                                                                                                                                                                                                                                                     120140429160354266
2.16.840.1.113883.3.42.127.100001.294             5                                                                          PRN                                                                                                                                                                                                                                                            4.3.2.1.1                                         P                                                                          PRN                                                                                                                                                                                                                                                            120140429160354267
2.16.840.1.113883.3.42.127.56.218                 4                                                                          AMIKACIN                                                                                                                                                                                                                                                       4.3.2.1.15                                        1                                                                          AMIKACIN                                                                                                                                                                                                                                                       120140429160354267
2.16.840.1.113883.3.42.127.56.232                 111129                                                                     SCHMIDT,DONNA                                                                                                                                                                                                                                                  4.3.2.1.13                                        83199                                                                      SCHMIDT,DONNA                                                                                                                                                                                                                                                  120140429160354268
2.16.840.1.113883.3.42.127.56.232                 111130                                                                     POOS,CAROLYN S                                                                                                                                                                                                                                                 4.3.2.1.13                                        83200                                                                      POOS,CAROLYN S                                                                                                                                                                                                                                                 120140429160354268
2.16.840.1.113883.3.42.127.56.232                 111131                                                                     RICHARD,P                                                                                                                                                                                                                                                      4.3.2.1.13                                        83202                                                                      RICHARD,P                                                                                                                                                                                                                                                      120140429160354269
2.16.840.1.113883.3.42.127.56.232                 111132                                                                     CLERK,ALPHA                                                                                                                                                                                                                                                    4.3.2.1.13                                        83196                                                                      CLERK,ALPHA                                                                                                                                                                                                                                                    120140429160354269
2.16.840.1.113883.3.42.127.56.232                 111133                                                                     NURSE,ALPHA                                                                                                                                                                                                                                                    4.3.2.1.13                                        83197                                                                      NURSE,ALPHA                                                                                                                                                                                                                                                    120140429160354270
2.16.840.1.113883.3.42.127.56.232                 111134                                                                     DOCTOR,ALPHA                                                                                                                                                                                                                                                   4.3.2.1.13                                        83243                                                                      DOCTOR,ALPHA                                                                                                                                                                                                                                                   120140429160354270
2.16.840.1.113883.3.42.127.56.232                 111135                                                                     RADDOC,RESIDENT A                                                                                                                                                                                                                                              4.3.2.1.13                                        83244                                                                      RADDOC,RESIDENT A                                                                                                                                                                                                                                              120140429160354271
2.16.840.1.113883.3.42.127.56.232                 111136                                                                     TECH,RADIOLOGY                                                                                                                                                                                                                                                 4.3.2.1.13                                        83245                                                                      TECH,RADIOLOGY                                                                                                                                                                                                                                                 120140429160354346
2.16.840.1.113883.3.42.127.56.232                 111137                                                                     STAFF,RADIOLOGIST A                                                                                                                                                                                                                                            4.3.2.1.13                                        83246                                                                      STAFF,RADIOLOGIST A                                                                                                                                                                                                                                            120140429160354346
2.16.840.1.113883.3.42.127.56.246                 1                                                                          ESCHERICHIA COLI                                                                                                                                                                                                                                               4.3.2.1.17                                        1                                                                          ESCHERICHIA COLI                                                                                                                                                                                                                                               120140429160354346
2.16.840.1.113883.3.42.127.56.246                 1185                                                                       FUNGUS                                                                                                                                                                                                                                                         4.3.2.1.17                                        1185                                                                       FUNGUS                                                                                                                                                                                                                                                         120140429160354347
2.16.840.1.113883.3.42.127.56.246                 400                                                                        GRAM NEG COCCI                                                                                                                                                                                                                                                 4.3.2.1.17                                        400                                                                        GRAM NEG COCCI                                                                                                                                                                                                                                                 120140429160354347
2.16.840.1.113883.3.42.127.56.246                 4818                                                                       KLEBSIELLA OXYTOCA                                                                                                                                                                                                                                             4.3.2.1.17                                        4818                                                                       KLEBSIELLA OXYTOCA                                                                                                                                                                                                                                             120140429160354348
2.16.840.1.113883.3.42.127.56.246                 49                                                                         BACTERIUM                                                                                                                                                                                                                                                      4.3.2.1.17                                        49                                                                         BACTERIUM                                                                                                                                                                                                                                                      120140429160354348
2.16.840.1.113883.3.42.127.56.246                 505                                                                        ENTEROBIUS VERMICULARIS                                                                                                                                                                                                                                        4.3.2.1.17                                        505                                                                        ENTEROBIUS VERMICULARIS                                                                                                                                                                                                                                        120140429160354348
