Map_Collection-Method-Codes_CHCS-Chicago_to_Std                                                                                                                                                                                                                2.16.840.1.113883.3.42.127.100001.289             Local_Collection-Method-Codes_CHCS-Chicago        2.16.840.1.113883.12.488                          Collection-Method-Codes                           
Map_Antibiotic-Susceptibility-IENs_VistA-Chicago_to_CHCS-Chicago                                                                                                                                                                                               4.3.2.1.15                                        Local_Antibiotic-Susceptibility-IENs_VistA-Chicago2.16.840.1.113883.3.42.127.56.218                 Local_Antibiotic-Susceptibility-IENs_CHCS-Chicago 
Map_Etiology-IENs_CHCS-Chicago_to_VistA-Chicago                                                                                                                                                                                                                2.16.840.1.113883.3.42.127.56.246                 Local_Etiology-IENs_CHCS-Chicago                  4.3.2.1.17                                        Local_Etiology-IENs_VistA-Chicago                 
Map_Location-IENs_CHCS-Chicago_to_VistA-Chicago                                                                                                                                                                                                                2.16.840.1.113883.3.42.127.56.282                 Local_Location-IENs_CHCS-Chicago                  4.3.2.1.8                                         Local_Location-IENs_VistA-Chicago                 
Map_Result-Category-Codes_VistA-Chicago_to_CHCS-Chicago                                                                                                                                                                                                        4.3.2.1.6                                         Local_Result-Category-Codes_VistA-Chicago         2.16.840.1.113883.3.42.127.100001.293             Local_Result-Category-Codes_CHCS-Chicago          
Map_Schedule-Type-Codes_VistA-Chicago_to_CHCS-Chicago                                                                                                                                                                                                          4.3.2.1.1                                         Local_Schedule-Type-Codes_VistA-Chicago           2.16.840.1.113883.3.42.127.100001.294             Local_Schedule-Type-Codes_CHCS-Chicago            
Map_Antibiotic-Susceptibility-IENs_CHCS-Chicago_to_VistA-Chicago                                                                                                                                                                                               2.16.840.1.113883.3.42.127.56.218                 Local_Antibiotic-Susceptibility-IENs_CHCS-Chicago 4.3.2.1.15                                        Local_Antibiotic-Susceptibility-IENs_VistA-Chicago
Map_Location-IENs_VistA-Chicago_to_CHCS-Chicago                                                                                                                                                                                                                4.3.2.1.8                                         Local_Location-IENs_VistA-Chicago                 2.16.840.1.113883.3.42.127.56.282                 Local_Location-IENs_CHCS-Chicago                  
Map_Site-Specimen-IENs_VistA-Chicago_to_CHCS-Chicago                                                                                                                                                                                                           4.3.5.3                                           Local_Site-Specimen-IENs_VistA-Chicago            2.16.840.1.113883.3.42.127.56.295                 Local_Site-Specimen-IENs_CHCS-Chicago             
Map_Blood-Product-IENs_VistA-Chicago_to_CHCS-Chicago                                                                                                                                                                                                           4.3.2.1.16                                        Local_Blood-Product-IENs_VistA-Chicago            2.16.840.1.113883.3.42.127.100001.275             Local_Blood-Product-IENs_CHCS-Chicago             
Map_Consult-Procedure-IENs_VistA-Chicago_to_CHCS-Chicago                                                                                                                                                                                                       2.16.840.1.113883.3.42.127.56.850                 Local_Consult-Procedure-IENs_VistA-Chicago        2.16.840.1.113883.3.42.127.56.255.99              Local_Consult-Procedure-IENs_CHCS-Chicago         
Map_Collection-Method-Codes_Std_to_CHCS-Chicago                                                                                                                                                                                                                2.16.840.1.113883.12.488                          Collection-Method-Codes                           2.16.840.1.113883.3.42.127.100001.289             Local_Collection-Method-Codes_CHCS-Chicago        
Map_User-IENs_VistA-Chicago_to_CHCS-Chicago                                                                                                                                                                                                                    4.3.2.1.13                                        Local_User-IENs_VistA-Chicago                     2.16.840.1.113883.3.42.127.56.232                 Local_User-IENs_CHCS-Chicago                      
Map_Blood-Product-IENs_CHCS-Chicago_to_VistA-Chicago                                                                                                                                                                                                           2.16.840.1.113883.3.42.127.100001.275             Local_Blood-Product-IENs_CHCS-Chicago             4.3.2.1.16                                        Local_Blood-Product-IENs_VistA-Chicago            
